id_edificio,cui,id_direccion
"252","7000352","252"
"253","7000353","253"
"254","7000355","254"
"255","7000356","255"
"256","7000357","256"
"257","7000358","257"
"258","7000359","258"
"259","7000361","259"
"260","7000362","260"
"261","7000363","261"
"262","7000364","262"
"263","7000365","263"
"264","7000366","264"
"265","7000368","265"
"266","7000369","266"
"267","7000370","267"
"268","7000371","268"
"269","7000372","269"
"270","7000373","270"
"271","7000374","271"
"272","7000375","272"
"273","7000376","273"
"274","7000378","274"
"275","7000379","275"
"276","7000380","276"
"277","7000382","277"
"278","7000383","278"
"279","7000384","279"
"280","7000385","280"
"281","7000386","281"
"282","7000387","282"
"283","7000388","283"
"284","7000389","284"
"285","7000390","285"
"286","7000391","286"
"287","7000392","287"
"288","7000393","288"
"289","7000394","289"
"290","7000395","290"
"291","7000396","291"
"292","7000397","292"
"293","7000398","293"
"294","7000399","294"
"295","7000400","295"
"296","7000401","296"
"297","7000402","297"
"298","7000403","298"
"299","7000404","299"
"300","7000405","300"
"301","7000406","301"
"302","7000407","302"
"303","7000408","303"
"304","7000410","304"
"305","7000411","305"
"306","7000412","306"
"307","7000413","307"
"308","7000414","308"
"309","7000416","309"
"310","7000417","310"
"311","7000418","311"
"312","7000419","312"
"313","7000420","313"
"314","7000421","314"
"315","7000422","315"
"316","7000423","316"
"317","7000424","317"
"318","7000426","318"
"319","7000427","319"
"320","7000430","320"
"321","7000435","321"
"322","7000436","322"
"323","7000438","323"
"324","7000439","324"
"325","7000440","325"
"326","7000441","326"
"327","7000664","327"
"328","7000794","328"
"329","7050002","329"
"330","7050028","330"
"331","7050035","331"
"332","7050038","332"
"333","7050041","333"
"334","7050043","334"
"335","7050047","335"
"336","7050054","336"
"337","7050063","337"
"338","7050068","338"
"339","7050069","339"
"340","7050086","340"
"341","7050105","341"
"342","7050135","342"
"343","7050153","343"
"344","7050177","344"
"345","7050194","345"
"346","7050206","346"
"347","7050253","347"
"348","7050260","348"
"349","7050281","349"
"350","7050300","350"
"351","7050312","351"
"352","7050364","352"
"353","7050367","353"
"354","7050376","354"
"355","7050399","355"
"356","7050402","356"
"357","7050423","357"
"358","7050437","358"
"359","7050439","359"
"360","7050442","360"
"361","7050444","361"
"362","7050445","362"
"363","7100001","363"
"364","7100005","364"
"365","7100013","365"
"366","7100017","366"
"367","7100064","367"
"368","7100067","368"
"369","7100068","369"
"370","7100076","370"
"371","7100099","371"
"372","7100101","372"
"373","7100106","373"
"374","7100111","374"
"375","PROV0101","375"
"376","PROV0102","376"
"377","PROV0103","377"
"378","PROV014","378"
"379","PROV0201","379"
"380","PROV0202","380"
"381","PROV0203","381"
"382","PROV0204","382"
"383","PROV0206","383"
"384","PROV0301","384"
"385","PROV0302","385"
"386","PROV0403","386"
"387","PROV0409","387"
"388","PROV0442","388"
"389","PROV0501","389"
"390","PROV0502","390"
"391","PROV0503","391"
"392","PROV0506","392"
"393","PROV0601","393"
"394","PROV0602","394"
"395","PROV0603","395"
"396","PROV0605","396"
"397","PROV0606","397"
"398","PROV0607","398"
"399","PROV0608","399"
"400","PROV0609","400"
"401","PROV0610","401"
"402","PROV0613","402"
"403","PROV0622","403"
"404","PROV0701","404"
"405","PROV0702","405"
"406","PROV0703","406"
"407","PROV0801","407"
"408","PROV0805","408"
"409","PROV0901","409"
"410","PROV1002","410"
"411","PROV1003","411"
"412","PROV1004","412"
"413","PROV1005","413"
"414","PROV1006","414"
"415","PROV1009","415"
"416","PROV1101","416"
"417","PROV1102","417"
"418","PROV1103","418"
"419","PROV1104","419"
"420","PROV1107","420"
"421","PROV1108","421"
"422","PROV1109","422"
"423","PROV1201","423"
"424","PROV1202","424"
"425","PROV1203","425"
"426","PROV1204","426"
"427","PROV1205","427"
"428","PROV1208","428"
"429","PROV1301","429"
"430","PROV1401","430"
"431","PROV1402","431"
"432","PROV1403","432"
"433","PROV1501","433"
"434","PROV1502","434"
"435","PROV1503","435"
"436","PROV1504","436"
"437","PROV1601","437"
"438","PROV1701","438"
"439","PROV1702","439"
"440","PROV1704","440"
"441","PROV1708","441"
"442","PROV1801","442"
"443","PROV1901","443"
"444","PROV1902","444"
"445","PROV1113","445"
"446","PROV0104","446"
"447","PROV0205","447"
"448","PROV0207","448"
"449","PROV0304","449"
"450","PROV0410","450"
"451","PROV0412","451"
"452","PROV0413","452"
"453","PROV0414","453"
"454","PROV0415","454"
"455","PROV0416","455"
"456","PROV0417","456"
"457","PROV0419","457"
"458","PROV0420","458"
"459","PROV0421","459"
"460","PROV0422","460"
"461","PROV0423","461"
"462","PROV0424","462"
"463","PROV0425","463"
"464","PROV0426","464"
"465","PROV0427","465"
"466","PROV0428","466"
"467","PROV0429","467"
"468","PROV0430","468"
"469","PROV0432","469"
"470","PROV0433","470"
"471","PROV0105","471"
"472","PROV0434","472"
"473","PROV0435","473"
"474","PROV0436","474"
"475","PROV0437","475"
"476","PROV0438","476"
"477","PROV0439","477"
"478","PROV0441","478"
"479","PROV0443","479"
"480","PROV0444","480"
"481","PROV0445","481"
"482","PROV0446","482"
"483","PROV0447","483"
"484","PROV0448","484"
"485","PROV0450","485"
"486","PROV0452","486"
"487","PROV0453","487"
"488","PROV0455","488"
"489","PROV0457","489"
"490","PROV0458","490"
"491","PROV0461","491"
"492","PROV0463","492"
"493","PROV0466","493"
"494","PROV0456","494"
"495","PROV0467","495"
"496","PROV0470","496"
"497","PROV0465","497"
"498","PROV0474","498"
"499","PROV0468","499"
"500","PROV0476","500"
"501","PROV0469","501"
"502","PROV0471","502"
"503","PROV0473","503"
"504","PROV0475","504"
"505","PROV0477","505"
"506","PROV0478","506"
"507","PROV0480","507"
"508","PROV0481","508"
"509","PROV0482","509"
"510","PROV0612","510"
"511","PROV0620","511"
"512","PROV1007","512"
"513","PROV1110","513"
"514","PROV1111","514"
"515","PROV1112","515"
"516","PROV1114","516"
"517","PROV1121","517"
"518","PROV1122","518"
"519","PROV1123","519"
"520","PROV1124","520"
"521","PROV1125","521"
"522","PROV1209","522"
"523","PROV0483","523"
"524","PROV0484","524"
"525","PROV1211","525"
"526","PROV1212","526"
"527","PROV1214","527"
"528","PROV1215","528"
"529","PROV1216","529"
"530","PROV1217","530"
"531","PROV1218","531"
"532","PROV1220","532"
"533","PROV1221","533"
"534","PROV1219","534"
"535","PROV1224","535"
"536","PROV1302","536"
"537","PROV1404","537"
"538","PROV1505","538"
"539","PROV1506","539"
"540","PROV1509","540"
"541","PROV1510","541"
"542","PROV1705","542"
"543","PROV0485","543"
"544","PROV1225","544"
"545","PROV0621","545"
