id_direccion,calle,numero_puerta,localidad,departamento,codigo_postal,latitud,longitud,te_voip,letra_zona
"97","SAN LORENZO Y PEDRO ECHAGUE","S/N","LOS MEDANOS","CAUCETE","5442","-31.6237884","-68.6237884","4307894","F"
"98","BENAVIDEZ","6195","VILLA UNION","CHIMBAS","5413","-31.5103906","-68.6047773","4178346","S"
"99","AMEGHINO","774","B° PARQUE INDEPENDENCIA","CHIMBAS","5413","-31.5059627","-68.5224981","4302073","S"
"100","URQUIZA","52","B° LAPRIDA","CHIMBAS","5413","-31.510463","0","4307624","S"
"101","TUCUMAN","343","CHIMBAS","CAPITAL","5413","-31.529707345290394","-68.52342464715562","4302174","S"
"102","AV. BENAVIDEZ","4771","B° LOS ALERCES","CHIMBAS","5413","-31.5101647","-68.5860728","4307615","S"
"103","BELGRANO Y PATAGONIA","S/N","Bº LOS PINOS","CHIMBAS","5413","-31.5089587","-68.5946658","4307847","S"
"104","NEUQUEN","S/N","Bº LOS TAMARINDO","CHIMBAS","5413","-31.5066594","-68.5521968","4307625","S"
"105","25 DE MAYO","2770","B° PARQUE INDUSTRIAL","CHIMBAS","5413","-31.4985472","-68.5645556","4307652","S"
"106","NECOCHEA","1514","CHIMBAS","CHIMBAS","5413","-31.5009549","-68.5084213","4307850","S"
"107","MENDOZA","2371","CHIMBAS NORTE","CHIMBAS","5413","-31.4843583","-68.5315594","4307623","S"
"108","ORATORIO","S/N","EL MOGOTE","CHIMBAS","5413","-31.4911075","-68.4751883","4307843","S"
"109","FERNANDEZ BARRIENTO Y ARENALES","S/N","EL MOGOTE","CHIMBAS","5413","-31.4812278","-68.4923805","4307819","S"
"110","CENTENARIO","2615","VILLA MARIA","CHIMBAS","5413","-31.480297","-68.5201084","4307622","S"
"111","SARGENTO CABRAL","S/N","VILLA MORRONE","CHIMBAS","5413","-31.5066023","-68.5632178","4307650","S"
"112","RASTREADOR CALIVAR","553","VILLA OBRERA","CHIMBAS","5413","-31.504181","-68.5991415","4307649","S"
"113","AGUSTIN GOMEZ Y BLAS PARERA","S/N","VILLA OBSERVATORIO","CHIMBAS","5413","-31.50976","-68.6180604","4307820","S"
"114","PRINCIPAL","S/N","COLANGUIL","IGLESIA","5467","-30.031471","-69.2914033","4302157","L"
"115","SAN MARTIN","1584","ANGUALASTO","IGLESIA","5467","-30.0544324","-69.1733909","4302125","L"
"116","BAUCHACETA","S/N","BAUCHACETA","IGLESIA","5467","-30.5107333","-69.46010824","4302148","L"
"117","PRINCIPAL","S/N","BELLA VISTA","IGLESIA","5467","-30.4323312","-69.2401616","4302147","L"
"118","GONZALEZ","S/N","COLOLA","IGLESIA","5467","-30.1921283","-69.1069788","4302109","L"
"119","SARMIENTO ","S/N","LAS FLORES","IGLESIA","5467","-30.3218668","-69.2043627","4302270","L"
"120","SANTO DOMINGO","4125","RODEO","IGLESIA","5467","-30.2117131","-69.1366418","432116","L"
"121","IBAZETA Y COLONIA ","S/N","RODEO","IGLESIA","5467","-30.2100968","-69.1619292","4307986","L"
"122","SAN ROQUE","S/N","TUDCUM","IGLESIA","5467","-30.1902064","-69.2709256","4302095","L"
"123","PRINCIPAL ","S/N","VILLA IGLESIA","IGLESIA","5467","-30.4143572","-69.2226879","4302087","L"
"124","RAWSON","843","SAN JOSE DE JACHAL","JACHAL","5460","-30.2462711","-68.7457019","4302045","G"
"125","CALLE SAN JUAN ","S/N","SAN JOSE DE JACHAL","JACHAL","5460","-30.2403947","-68.7498387","4302088","G"
"126","GRAL. ACHA Y AGUSTIN GOMEZ","S/N","SAN JOSE DE JACHAL","JACHAL","5460","-30.2395592","-68.7418319","4307900","G"
"127","RUTA NACIONAL 150 KM.3","S/N","PACHIMOCO","JACHAL","5460","-30.2252542","-68.7633947","4302052","G"
"128","CHUBUT Y ENTRE RIOS  ","S/N","Bº FRONTERAS ARGENTINAS","JACHAL","5460","-30.2449444","-68.7317669","4302069","G"
"129","EX-RUTA 40 ","S/N","NIQUIVIL","JACHAL","5460","-30.3996733","-68.6946359","4302067","G"
"130","PROLONGACION MARTIN FIERRO ","S/N","BOCA DE LA QUEBRADA","JACHAL","5460","-30.1497977","-68.6612904","4302038","G"
"131","LA FALDA ","S/N","EL FICAL","JACHAL","5460","-30.2615716","-68.6699956","4302017","G"
"132","MONS. TOMAS S. CRUZ (EL FUERTE)","S/N","EL VOLCAN","JACHAL","5460","-30.3258091","-68.6968061","4302057","G"
"133","ALFONSO HERNANDEZ ","S/N","EL MEDANO","JACHAL","5460","-30.1266752","-68.6815118","4302037","G"
"134","CHEPICAL ","S/N","PUESTO CHEPICAL","JACHAL","5460","-29.7535785","-68.7583651","No registrado","G"
"135","RIVADAVIA","S/N","HUACO","JACHAL","5460","-30.158562","-68.4826924","4302055","G"
"136","OLIVARES","S/N","EL BAJO HUACO","JACHAL","5460","-30.1738986","-68.4788236","4302070","G"
"137","PASO DE LOS ANDES","S/N","ALTO HUACO","JACHAL","5460","-30.1382351","-68.5109627","4302051","G"
"138","RUTA PROVINCIAL 491","S/N","LA CIENEGA","JACHAL","5460","-30.1514222","-68.5731345","4302053","G"
"139","RUTA PROVINCIAL 491","S/N","LA FALDA","JACHAL","5460","-30.1900571","-68.6597903","4302065","G"
"140","SAN MARTIN ","S/N","LA FRONTERA","JACHAL","5460","-30.1010774","-68.7182487","4302044","G"
"141","PATRICIO LOPEZ DEL CAMPO ","S/N","PAMPA VIEJA","JACHAL","5460","-30.2281963","-68.6877301","4302025","G"
"142","NUEVA ","S/N","LA REPRESA","JACHAL","5460","-30.0861874","-68.6904441","4302007","G"
"143","POMPEYA","S/N","LOS PUESTOS","JACHAL","5460","-30.6822431","-68.3180831","4302410","G"
"144","SANTA BARBARA","S/N","MOGNA","JACHAL","5460","-30.6942326","-68.3611631","4302411","G"
"145","RUTA N° 150 - KM 10","S/N","PACHIMOCO","JACHAL","5460","-30.1982301","-68.8291803","4302059","G"
"146","VARAS ","S/N","PAMPA DEL CHANAR","JACHAL","5460","-30.181917","-68.6797063","4302039","G"
"147","NORIEGA","S/N","PAMPA DEL CHANAR","JACHAL","5460","-30.151417","-68.6869921","4302046","G"
"148","CALLE NUEVA ","S/N","SAN ISIDRO","JACHAL","5460","-30.1433075","-68.7061726","4302009","G"
"149","VARAS ","S/N","PAMPA VIEJA","JACHAL","5460","-30.2143303","-68.6879204","4302008","G"
"150","AV. 25 DE MAYO","776","SAN JOSE DE JACHAL","JACHAL","5460","-30.2367757","-68.747635","4302058","G"
"151","EX-RUTA 472 Y PROGRESO","S/N","SAN ROQUE","JACHAL","5460","-30.2785628","-68.7038013","4302034","G"
"152","EUGENIO FLORES ","S/N","TAMBERIAS","JACHAL","5460","-30.1887014","-68.7254543","4302035","G"
"153","EUGENIO FLORES ","S/N","VILLA MERCEDES","JACHAL","5460","-30.1058235","-68.7005559","4302036","G"
"154","CHUBUT Y JUJUY","S/N","Bº FRONTERAS ARGENTINAS","JACHAL","5460","-30.2440376","-68.7315371","4302038","G"
"155","CALLEJON DEL ALTO ","S/N","HUERTA DE HUACHI","JACHAL","5460","-30.0146258","-68.7513958","4302204","G"
"156","VALENTIN VIDELA","S/N","VILLA CABECERA","9 DE JULIO","5417","-31.6614853","-68.3810824","4307944","P"
"157","AMABLE JONES Y MAESTRO YACANTE","S/N","LA MAJADITA","9 DE JULIO","5417","-31.701916","-68.3687723","4307770","P"
"158","RUTA N° 20 KM 13","S/N","LAS CHACRITAS","9 DE JULIO","5417","-31.5916644","-68.4115602","4307942","P"
"159","RUTA 20 KM 16","S/N","RINCON CERCADO","9 DE JULIO","5417","-31.6074824","-68.3784598","4307917","P"
"160","CALLE LAS FRAZADAS ENTRE MAURIN Y CALLE 8","S/N","RINCON CERCADO","9 DE JULIO","5417","-31.6483531","-68.3739409","4307918","P"
"161","DIAGONAL SAN MARTIN ENTRE SARMIENTO Y LAPRIDA","S/N","VILLA CABECERA","9 DE JULIO","5417","-31.6688904","-68.3908775","4307945","P"
"162","MENDOZA Y CALLE 17","S/N","LA RINCONADA","POCITO","5427","-31.7296984","-68.5660532","4307851","R"
"163","CALLEJON PEDRO GIL ","S/N","CAMPO DE BATALLA","POCITO","5427","-31.7650666","-68.5646308","4307632","R"
"164","ANACLETO GIL ","S/N","CARPINTERIA","POCITO","5427","-31.8206004","-68.5468873","4302108","R"
"165","MENDOZA KM 25","S/N","CARPINTERIA","POCITO","5427","-31.7523801","-68.5541021","4307638","R"
"166","FLORENCIO BASANEZ ZAVALLA","S/N","CARPINTERIA","POCITO","5427","-31.8217111","-68.5285821","4302808","R"
"167","GRAL. ACHA  ENTRE 7 Y 8","S/N","COLONIA RODAS","POCITO","5427","-31.6251312","-68.5286635","4307839","R"
"168","14 Y VIDART","S/N","RINCONADA","POCITO","5427","-31.6867607","-68.600767","4307806","R"
"169","AV UNAC ENTRE 7 Y 8","S/N","LA CALLECITA","POCITO","5427","-31.6231515","-68.5511426","4307630","R"
"170","CALLE 15 ENTRE ABERASTAIN Y MENDOZA","S/N","LA RINCONADA","POCITO","5427","-31.7049157","-68.5788833","4307641","R"
"171","CALLE 13 ENTRE RUTA 40 Y ALFONSO XXIII","S/N","LA RINCONADA","POCITO","5427","-31.6902735","-68.5265877","4307840","R"
"172","CHACABUCO Y 8","S/N","QUINTO CUARTEL","POCITO","5427","-31.6089849","-68.6016663","4307629","R"
"173","ING. MARCOS ZALAZAR ","S/N","CUARTO CARTEL","POCITO","5427","-31.6496396","-68.6033326","4307840","R"
"174","ABERASTAIN ","S/N","RINCONADA","POCITO","5427","-31.6915635","-68.5726921","4307829","R"
"175","CALLEJON ECHEGARAY VIDART ENTRE 7 Y 8","S/N","SEGUNDO CUARTEL","POCITO","5427","-31.6103765","-68.5770992","4307645","R"
"176","CALLE 9 Y VIDART","S/N","SEGUNDO CUARTEL","POCITO","5427","-31.6273951","-68.5849319","4307794","R"
"177","AVENIDA UNAC Y MARIANO MORENO","15","VILLA ABERASTAIN","POCITO","5427","-31.6492944","-68.5626136","4302276","R"
"178","SANTA MARIA DE ORO","233","VILLA ABERASTAIN","POCITO","5427","-31.6576017","-68.5802145","4307860","R"
"179","CALLE 12 ENTRE MENDOZA Y RUTA N° 40","S/N","VILLA ABERASTAIN","POCITO","5427","-31.6706665","-68.5626803","4302357","R"
"180","FURQUE Y PICON","S/N","VILLA ABERASTAIN","POCITO","5427","-31.659607","-68.5812476","4307643","R"
"181","GRANADEROS Y ALVEAR","S/N","VILLA PAOLINI","POCITO","5427","-31.5924898","-68.5430703","4307637","R"
"182","GENERAL ACHA Y RUTA 40","S/N","RAWSON","RAWSON","5406","-31.5767264","-68.5187055","4307683","R"
"183","MEGLIOLI ","4410","RAWSON","RAWSON","5406","-31.5707662","-68.587996","4307674","R"
"184","TENIENTE IBALEZ","270","B° EDILCO","RAWSON","5406","-31.5638259","-68.5202094","4307666","R"
"185","BAHIA BLANCA Y AGUILAR","S/N","B° HUALILAN","RAWSON","5406","-31.5630125","-68.5625421","4307862","R"
"186","TIERRA DEL FUEGO","S/N","B° RESIDENCIAL OBRERO","RAWSON","5406","-31.5729316","-68.5269335","4307805","R"
"187","BOULEVAR SARMIENTO ","938","RAWSON","RAWSON","5406","-31.5739013","-68.537265","4307656","R"
"188","AVENIDA ESPANA","1923","RAWSON","RAWSON","5406","-31.5741732","-68.5382533","4307655","R"
"189","FELIX AGUILAR Y NEUQUEN","S/N","B° BUENAVENTURA LUNA","RAWSON","5406","-31.5823418","-68.5601167","4307671","R"
"190","BAHIA BLANCA Y SANTIAGO DERQUI","S/N","B° GUEMES","RAWSON","5406","-31.5630125","-68.5625421","4302179","R"
"191","JUAREZ CELMAN ","235","B° HUGO MONTANO","RAWSON","5406","-31.5667504","-68.5613456","4307664","R"
"192","ALMAFUERTE ","S/N","B° S. M. DEL CARRIL","RAWSON","5406","-31.5634501","-68.5379694","4307667","R"
"193","VALLE FERTIL Y CHACABUCO","S/N","B° SAN RICARDO","RAWSON","5406","-31.583841","-68.532333","4302190","R"
"194","CALLE 6 Y LABRADOR","S/N","COLONIA RODAS","RAWSON","5406","-31.619063","-68.5024107","4307678","R"
"195","RODAS Y LAS CANITAS","S/N","LOS CORREDORES","RAWSON","5406","-31.561623","-68.5093986","4302074","R"
"196","FLORIDA Y LAS PIEDRITAS ","S/N","MEDANITO","RAWSON","5406","-31.5773329","-68.4815199","4307853","R"
"197","CALLLE 9 ENTRE GARIBALDI Y PUNTA DEL MONTE","S/N","MEDANO DE ORO","RAWSON","5406","-31.6572652","-68.4652977","4307672","R"
"198","BELGRANO ENTRE 8 Y 9","S/N","MEDANO DE ORO","RAWSON","5406","-31.6492501","-68.5012801","4307677","R"
"199","GABRIELA MISTRAL ","S/N","Vº BOLANOS","RAWSON","5406","-31.6284928","-68.4813831","4307676","R"
"200","AMERICA ENTRE 13 Y 14","S/N","MEDANO DE ORO","RAWSON","5406","-31.7066333","-68.4850941","4307824","R"
"201","CALLE 11 Y AMERICA","S/N","MEDANO DE ORO","RAWSON","5406","-31.6843705","-68.4811079","4307836","R"
"202","RUTA 155 Y AMERICA","S/N","MEDANO DE ORO","RAWSON","5406","-31.6017801","-68.4661477","4307614","R"
"203","CALLE 10 Y ALFONSO XIII","S/N","MEDANO DE ORO","RAWSON","5406","-31.6583314","-68.513447","4307823","R"
"204","MENDOZA","3335","RAWSON","RAWSON","5406","-31.5722838","-68.5303122","4307626","R"
"205","MAIPU","100","Vº HIPODROMO","RAWSON","5406","-31.5650188","-68.5509355","4307686","R"
"206","ESPELETA ","550","VILLA KRAUSE","RAWSON","5406","-31.5851743","-68.5430246","4307627","R"
"207","CALLE 5 Y GRAL ACHA","S/N","RAWSON","RAWSON","5406","-31.5957644","-68.5165195","4302213","R"
"208","ARENALES E IBAZETA","S/N","Bº SAN JUAN","RIVADAVIA","5407","-31.5468905","-68.5542368","4307588","O"
"209","IGNACIO DE LA ROZA","775","RIVADAVIA","RIVADAVIA","5407","-31.5379448","-68.5685158","4307816","O"
"210","COLL","2594","RIVADAVIA","RIVADAVIA","5407","-31.5167395","-68.5981721","4307841","O"
"211","MARIA E. DUARTE DE PERON Y LARRALDE ","S/N","B° PARQUE RIVADAVIA NORTE","RIVADAVIA","5407","-31.5129362","-68.5816608","4307809","O"
"212","AV. LIB. GRAL. SAN MARTIN","4150","Bº FORTABAT","RIVADAVIA","5407","-31.5283738","-68.5801594","4307598","O"
"213","LAVALLE ","S/N","B° FORTABAT","RIVADAVIA","5407","-31.5367531","-68.5913627","4307837","O"
"214","ROQUE SAENZ PENA","430","B° HUAZIUL","RIVADAVIA","5407","-31.51582","-68.5741427","4307597","O"
"215","ESMERALDA ","S/N","B° UDAP III","RIVADAVIA","5407","-31.5535706","-68.5649409","4307586","O"
"216","2 DE ABRIL Y CATTANI","S/N","B° ARAMBURU ","RIVADAVIA","5407","-31.5158417","-68.5656611","4307593","O"
"217","AVELLANEDA","2951","B° JARDIN POLICIAL","RIVADAVIA","5407","-31.5502211","-68.5579105","4307584","O"
"218","JORGE NEWBERY","1851","B° RIVADAVIA SUR","RIVADAVIA","5407","-31.5519787","-68.5489002","4307589","O"
"219","AVENIDA IGNACIO DE LA ROZA","4310","LA BEBIDA","RIVADAVIA","5407","-31.5399058","-68.6176477","4307612","O"
"220","LOTE HOGAR N° 34","S/N","LA BEBIDA","RIVADAVIA","5407","-31.5482447","-68.618822","4307811","O"
"221","SAN JUAN","7306","MARQUEZADO","RIVADAVIA","5407","-31.523757","-68.6300713","4307838","O"
"222","HIPOLITO IRIGOYEN","2231","B° NUEVA ARGENTINA","RIVADAVIA","5407","-31.5533554","-68.5667887","4307814","O"
"223","PERIODISTAS ARGENTINOS","5860","Bº CAMUS","RIVADAVIA","5407","-31.5326874","-68.6005286","4307599","O"
